id,n_authors,len_char_title,len_word_title,len_char_abstract,len_word_abstract,n_keywords,ref_len,ref_latest,num_recent_refs,contains_ml_keyword,avg_sent_len,abs_glove_avg,contains_sota,avg_ref_length,num_sections,contains_appendix,fig_tab_eqn_count,contains_table,contains_figure,contains_equation,iclr_references,label,ref_latest_depth
2020_S1eZYeHFDS,2,38,5,589,85,4,31,2019,19,1,24.0,0.06430728733539581,0,39,26,1,85,1,1,1,3,Accept,2
2020_S1e2agrFvS,5,48,6,1167,163,3,33,2019,26,1,25.125,0.0611332431435585,1,28,15,0,22,1,1,1,5,Accept,2
2020_SJg9z6VFDr,4,49,6,1335,188,2,47,2019,35,1,20.818181818181817,0.07985596358776093,0,32,26,1,63,1,1,1,0,Reject,2
2017_HkNRsU5ge,2,30,4,910,148,3,14,2016,11,1,24.142857142857142,0.07557354867458344,0,89,24,1,21,0,1,1,0,Accept,2
2019_Sk4jFoA9K7,5,60,8,1108,170,8,57,2018,48,1,31.333333333333332,0.05517120286822319,0,242,21,0,13,1,1,0,3,Accept,2
2018_HkAClQgA-,3,53,7,1066,152,5,37,2017,31,1,23.25,0.052291594445705414,1,33,24,1,19,1,1,1,4,Accept,2
2019_ByxAOoR5K7,2,64,6,1258,168,4,22,2018,14,1,29.571428571428573,0.06514177471399307,0,43,7,1,15,0,1,1,0,Reject,2
2019_HJMsiiRctX,1,63,8,1080,168,4,20,2018,19,1,23.75,0.05504504218697548,0,34,8,0,7,0,1,0,0,Reject,2
2020_HyeG9yHKPr,17,58,7,719,111,2,44,2019,26,0,26.2,0.05586957558989525,0,111,18,1,54,1,1,1,1,Reject,2
2018_SJyEH91A-,3,31,3,1086,163,3,43,2017,31,1,20.0,0.07066356390714645,0,34,13,1,16,1,1,1,0,Accept,2
2018_ByCPHrgCW,3,59,7,904,127,6,29,2017,20,1,25.0,0.05693476274609566,0,22,29,1,13,1,1,1,0,Reject,2
2020_Skl6peHFwS,3,58,8,1247,178,4,25,2019,18,1,32.833333333333336,0.028424082323908806,0,31,4,0,9,1,1,0,0,Reject,2
2020_BJl6bANtwH,3,44,5,856,129,6,41,2019,23,0,30.6,0.07104101777076721,0,33,33,1,24,1,1,0,0,Accept,2
2020_B1guLAVFDB,3,77,11,1650,260,3,29,2019,20,1,21.785714285714285,0.07528156042098999,0,361,11,0,5,0,1,0,1,Accept,2
2019_rkgMNnC9YQ,6,55,6,1131,165,0,14,2018,10,1,28.666666666666668,0.06038682162761688,0,340,12,0,14,1,1,1,0,Reject,2
2020_rJecSyHtDS,6,50,7,1327,195,4,41,2019,38,0,26.0,0.05647647753357887,0,33,11,0,8,0,1,0,0,Reject,2
2018_B1uvH_gC-,3,64,7,998,140,4,30,2017,8,1,32.0,0.07122337073087692,0,213,12,0,33,0,1,1,2,Reject,2
2020_HJlrS1rYwH,3,19,3,1064,163,1,14,2019,12,1,23.375,0.03975500166416168,0,39,13,1,16,1,1,1,1,Reject,2
2020_rJg8TeSFDH,2,67,9,1644,267,4,23,2019,21,1,23.0,0.06974133849143982,0,32,3,1,28,1,1,1,3,Accept,2
2020_ByxKo04tvr,3,23,3,1261,177,3,38,2018,28,1,29.0,0.06486809253692627,0,49,14,1,42,1,1,0,0,Reject,3
2019_S1lg0jAcYm,2,68,8,971,125,5,40,2018,27,0,32.0,0.06564050167798996,1,65,17,1,26,1,1,1,4,Accept,2
2018_By5ugjyCb,6,69,9,1394,195,3,30,2017,27,1,25.0,0.05996538698673248,1,536,16,1,24,1,1,1,2,Reject,2
2020_S1lNWertDr,3,80,9,810,119,0,33,2019,19,1,28.6,0.05722229182720184,0,681,12,0,10,1,1,1,0,Reject,2
2019_SyMhLo0qKQ,3,57,6,1058,157,4,15,2018,11,0,34.2,0.07879206538200378,0,181,18,1,6,0,1,0,0,Accept,2
2018_HkUR_y-RZ,4,46,7,1096,162,2,35,2017,23,1,21.22222222222222,0.05121500790119171,0,81,11,1,6,1,1,0,3,Accept,2
2020_HkeUDCNFPS,3,108,10,1231,166,2,43,2018,28,1,19.5,0.059660326689481735,0,50,18,0,25,0,1,1,0,Reject,3
2020_ryxtCpNtDS,2,87,9,714,99,1,36,2019,26,1,17.666666666666668,0.07132893800735474,0,43,21,1,15,1,1,0,1,Reject,2
2020_HJlQ96EtPr,7,41,5,1272,175,5,20,2019,17,1,29.142857142857142,0.07006804645061493,0,32,8,1,30,1,1,1,6,Reject,2
2019_BkgPajAcY7,2,75,10,630,88,1,59,2018,40,0,35.333333333333336,0.05805289372801781,0,41,19,1,12,1,1,1,1,Accept,2
2018_SkxqZngC-,6,67,8,1160,173,4,40,2017,25,1,24.666666666666668,0.06257611513137817,1,42,20,1,31,1,1,1,4,Reject,2
2019_r1laEnA5Ym,5,71,8,852,122,9,51,2019,34,1,22.833333333333332,0.0578000433743,0,31,44,1,21,1,1,1,11,Accept,1
2019_r14EOsCqKX,4,90,14,1355,192,6,35,2018,33,1,31.285714285714285,0.06893065571784973,0,34,19,1,31,0,1,0,1,Accept,2
2020_BkxtNaEYDr,2,46,6,883,130,2,35,2019,25,0,22.285714285714285,0.06782838702201843,0,309,11,1,2,0,1,0,0,Reject,2
2020_rylztAEYvr,5,66,7,1087,156,5,31,2019,22,1,22.75,0.0592019185423851,1,34,21,1,18,1,1,1,2,Reject,2
2017_SkhU2fcll,2,72,9,851,121,0,31,2016,16,1,20.857142857142858,0.056371405720710754,0,63,13,1,15,0,1,1,2,Accept,2
2018_H1T2hmZAb,10,21,3,1340,180,2,50,2017,32,1,28.375,0.06941475719213486,1,53,26,1,25,1,1,1,2,Accept,2
2019_ryzfcoR5YQ,7,79,9,1587,232,4,28,2018,18,1,29.1,0.053836461156606674,1,25,16,1,14,1,1,1,2,Reject,2
2019_Syx0Mh05YQ,4,111,14,1207,188,0,28,2018,12,0,18.75,0.04958212748169899,0,119,44,1,44,1,1,1,0,Accept,2
2020_SylWNC4FPH,5,85,11,1073,164,4,28,2019,23,1,20.333333333333332,0.05337414890527725,0,32,14,0,17,1,1,1,2,Reject,2
2019_HkxjYoCqKX,5,52,6,899,128,4,42,2019,40,0,23.0,0.058148957788944244,0,35,12,1,18,1,1,1,3,Accept,1
2020_rylXBkrYDS,4,44,6,962,142,5,57,2019,42,1,24.125,0.05024034157395363,1,45,40,1,38,1,1,0,0,Accept,2
2017_rJRhzzKxl,3,39,6,1321,195,4,38,2016,21,1,33.857142857142854,0.05763735622167587,1,250,15,1,10,1,1,1,2,Reject,2
2019_Hyghb2Rct7,2,84,10,1792,268,3,44,2018,27,1,26.166666666666668,0.057725172489881516,0,31,13,0,8,1,1,1,5,Reject,2
2020_S1efAp4YvB,4,102,14,953,145,6,24,2018,19,1,33.6,0.04692680761218071,0,147,16,1,16,1,1,1,0,Reject,3
2018_SysEexbRb,2,84,12,1209,182,4,25,2018,21,1,33.166666666666664,0.07780719548463821,0,622,17,0,8,0,0,1,3,Accept,1
2017_B1GOWV5eg,3,82,12,1131,168,2,26,2017,20,1,31.166666666666668,0.05514054372906685,0,335,23,1,44,1,1,1,2,Accept,1
2018_HJ_aoCyRZ,6,59,8,1438,209,3,26,2018,14,1,19.23076923076923,0.06231227517127991,1,38,17,1,11,1,1,0,0,Accept,1
2020_rJxYMCEFDr,4,77,8,1513,211,4,23,2019,15,1,22.363636363636363,0.04393856227397919,0,23,16,1,20,1,1,1,0,Reject,2
2020_Skerzp4KPS,4,63,8,896,127,0,30,2018,26,1,35.75,0.05695343390107155,0,694,13,0,12,1,1,0,1,Reject,3
2020_SyxiRJStwr,4,47,6,1041,156,4,42,2019,28,1,24.0,0.07060705125331879,0,43,11,0,11,1,1,0,3,Reject,2
2019_BJe1hsCcYQ,3,28,3,1085,154,4,16,2018,7,0,19.22222222222222,0.055666565895080566,1,27,14,1,10,1,1,0,0,Reject,2
2017_ryCcJaqgl,3,74,13,1180,176,0,34,2016,29,1,29.285714285714285,0.03873207047581673,0,42,19,1,17,1,1,0,0,Reject,2
2017_SyCSsUDee,3,58,7,1360,187,2,24,2016,13,1,21.1,0.05659675970673561,0,71,11,1,30,1,1,0,4,Reject,2
2018_rJR2ylbRb,4,66,9,1064,152,5,29,2017,17,1,25.571428571428573,0.07220394909381866,1,63,18,1,18,1,1,1,0,Reject,2
2020_ByggpyrFPS,2,80,7,884,133,3,50,2019,41,1,30.6,0.06279518455266953,0,80,19,1,10,1,1,0,0,Reject,2
2019_Hye6uoC9tm,3,68,7,774,108,6,20,2018,12,0,24.4,0.047848042100667953,0,278,12,0,0,0,0,0,1,Reject,2
2020_HJgExaVtwr,3,65,9,1204,166,2,47,2019,43,1,22.444444444444443,0.05144326761364937,1,30,16,1,19,1,1,1,6,Accept,2
2017_B1kJ6H9ex,4,40,5,1190,188,2,45,2016,23,0,24.0,0.05310830473899841,0,44,21,1,29,1,1,1,0,Accept,2
2020_Bkxe2AVtPS,6,99,14,1058,155,3,26,2019,22,1,23.5,0.06167442351579666,0,27,15,1,22,1,1,1,1,Accept,2
2018_S1nQvfgA-,4,77,9,1130,165,4,49,2017,43,1,27.142857142857142,0.05654602870345116,0,57,19,1,19,1,1,0,6,Accept,2
2019_rkzDIiA5YQ,4,75,9,1199,185,4,22,2018,14,1,20.7,0.06824717670679092,0,960,24,1,63,0,1,1,1,Accept,2
2018_S1vuO-bCW,4,80,13,1110,161,4,30,2018,29,0,26.571428571428573,0.06236301362514496,0,200,31,1,23,0,1,1,0,Accept,1
2019_Bklfsi0cKm,3,57,7,753,129,4,34,2018,26,1,36.25,0.0679619312286377,0,33,16,1,22,1,1,1,1,Accept,2
2020_rkl44TEtwH,5,69,7,1002,151,3,52,2019,40,1,21.625,0.055360544472932816,0,39,13,1,0,0,0,0,6,Reject,2
2018_HyIFzx-0b,6,73,9,716,101,0,20,2017,15,0,28.25,0.06665613502264023,0,37,14,0,19,1,1,0,0,Reject,2
2020_rye5YaEtPr,5,54,10,993,145,3,31,2019,23,1,24.857142857142858,0.06808385252952576,0,44,19,1,5,0,1,0,4,Accept,2
2019_HklAhi09Y7,5,46,6,623,96,4,46,2027,43,1,35.0,0.06815633922815323,0,434,14,1,22,1,1,1,0,Reject,-7
2017_SkgewU5ll,5,72,9,1517,219,2,12,2017,9,1,27.88888888888889,0.07383662462234497,0,22,18,1,31,1,1,0,0,Reject,1
2020_BJlisySYPS,4,72,11,1036,161,5,40,2019,22,1,24.75,0.07235515862703323,0,102,13,1,25,0,1,1,0,Reject,2
2020_BylKL1SKvr,4,65,7,1590,224,3,33,2019,28,1,18.071428571428573,0.05173612758517265,0,101,14,1,37,1,1,1,2,Reject,2
2020_rkeUcRNtwS,3,51,5,1114,156,3,33,2019,31,1,26.714285714285715,0.04207509383559227,1,67,7,1,21,1,1,1,2,Reject,2
2018_rkO3uTkAZ,3,81,10,1500,210,2,44,2017,43,1,27.22222222222222,0.06021746248006821,1,81,19,1,7,1,0,1,0,Accept,2
2019_r1eO_oCqtQ,3,67,9,1138,174,5,21,2018,18,1,26.0,0.06748887151479721,0,30,20,1,31,1,1,1,1,Reject,2
2020_ryxC-kBYDS,4,53,6,1153,164,5,30,2019,19,0,19.4,0.061367474496364594,0,28,21,1,11,1,1,1,0,Reject,2
2018_H1q-TM-AW,4,51,7,1635,241,3,35,2017,25,1,41.57142857142857,0.06318329274654388,1,21,20,1,15,1,1,0,0,Accept,2
2019_rJxpuoCqtQ,1,82,8,581,85,3,26,2018,18,1,24.0,0.057619672268629074,0,35,17,1,14,1,1,1,4,Reject,2
2018_ryUlhzWCZ,3,86,11,1151,176,2,30,2017,16,0,40.6,0.045676540583372116,0,31,17,1,28,0,1,1,0,Accept,2
2020_SkgTR3VFvH,2,75,10,1418,207,3,25,2018,20,1,30.0,0.0682867169380188,0,55,18,1,19,1,1,0,0,Reject,3
2017_S1HcOI5le,3,70,11,1171,172,0,22,2016,15,1,26.375,0.07024794816970825,1,197,12,0,13,0,1,0,0,Reject,2
2020_Syx9Q1rYvH,3,68,7,1438,194,5,28,2019,22,0,23.6,0.06567803025245667,1,66,17,1,13,0,1,1,0,Reject,2
2019_rJevYoA9Fm,3,43,6,455,69,4,22,2019,13,0,26.666666666666668,0.08136476576328278,0,45,14,1,16,0,1,1,0,Accept,1
2017_rJqFGTslg,5,38,5,1274,196,2,34,2016,31,1,26.5,0.06904337555170059,0,337,17,1,18,1,1,0,4,Accept,2
2019_ryfMLoCqtQ,2,91,13,1629,239,5,25,2018,24,1,29.88888888888889,0.07032705843448639,0,45,20,1,36,0,1,1,2,Accept,2
2020_ryeUg0VFwr,3,65,8,864,133,5,74,2019,54,1,33.2,0.06137121096253395,0,36,4,0,0,0,0,0,1,Reject,2
2020_SkeYUkStPr,4,24,3,897,128,4,58,2018,22,1,30.4,0.050053466111421585,0,45,22,1,43,1,1,1,0,Reject,3
2018_Hk2MHt-3-,3,36,5,1408,216,2,28,2017,22,1,23.90909090909091,0.05165620893239975,1,65,24,0,25,1,1,0,6,Reject,2
2018_By4HsfWAZ,3,78,10,1061,164,4,31,2017,23,1,24.857142857142858,0.05830639973282814,1,339,15,1,42,0,1,1,1,Accept,2
2020_SJl47yBYPS,4,82,10,1150,167,3,48,2019,40,1,24.0,0.046200305223464966,1,54,20,1,20,1,1,1,0,Reject,2
2020_r1lEjlHKPH,4,50,6,815,129,3,26,2019,21,1,28.0,0.038663599640131,0,43,18,0,10,1,1,1,0,Reject,2
2020_SklM1xStPB,3,45,7,897,148,4,30,2019,26,1,33.0,0.058304544538259506,0,51,15,1,24,1,1,0,4,Reject,2
2020_Syx79eBKwr,6,81,9,1072,147,0,35,2019,26,0,36.6,0.07152781635522842,1,29,17,1,10,1,1,1,4,Accept,2
2020_HygXkJHtvB,3,103,15,1007,162,3,24,2019,10,1,42.75,0.04855618625879288,0,21,10,1,35,0,1,1,0,Reject,2
2020_HJlnC1rKPB,3,67,8,909,128,8,0,0,0,1,19.875,0.045568324625492096,1,0,18,1,32,1,1,1,0,Accept,2021
2017_HJlgm-B9lx,3,103,13,877,134,3,33,2016,22,1,16.555555555555557,0.055494919419288635,1,22,16,0,2,0,1,0,0,Reject,2
2019_S1zlmnA5K7,3,50,6,870,123,4,62,2018,41,1,38.0,0.05647272616624832,0,38,14,0,19,1,1,1,0,Reject,2
2020_SkeuipVKDH,7,98,13,1048,149,3,14,2019,11,0,24.714285714285715,0.06542598456144333,0,281,12,1,14,0,1,1,0,Reject,2
2017_BycCx8qex,5,78,10,1003,145,4,28,2016,23,1,25.285714285714285,0.0745626837015152,0,40,11,1,12,1,1,0,0,Reject,2
2020_SkgKO0EtvS,5,36,5,1051,143,6,33,2019,24,1,37.2,0.0694914385676384,1,43,12,1,20,1,1,1,0,Accept,2
2020_Syxwsp4KDB,5,84,12,928,130,3,28,2020,22,1,18.75,0.052629198879003525,0,27,15,0,9,1,1,0,1,Reject,1
2018_rJm7VfZA-,3,67,8,1981,289,5,25,2017,14,1,34.5,0.07199374586343765,0,39,12,1,13,0,1,1,0,Accept,2
2019_r1ztwiCcYQ,1,84,14,1647,258,4,5,2017,4,0,26.272727272727273,0.07389363646507263,0,21,7,0,16,0,0,1,1,Reject,3
2019_rkxusjRctQ,5,64,9,1047,170,4,41,2018,38,1,27.142857142857142,0.04507993161678314,0,57,12,1,17,1,1,1,0,Reject,2
2020_HkewNJStDr,6,108,11,1020,135,3,47,2019,34,1,20.125,0.05822640284895897,0,44,37,1,16,1,1,1,0,Reject,2
2019_rygo9iR9F7,13,61,9,1186,168,5,35,2018,32,1,21.333333333333332,0.058624282479286194,0,58,13,0,13,1,1,0,4,Reject,2
2020_rkg6PhNKDr,3,73,13,1395,225,3,19,2018,16,1,32.5,0.06839440017938614,0,20,12,1,10,1,1,1,2,Reject,3
2017_BJ9fZNqle,4,40,3,1170,159,3,49,2016,35,0,31.333333333333332,0.07101955264806747,0,45,18,1,6,1,1,0,3,Reject,2
2020_SJgBra4YDS,4,86,13,1219,168,9,61,2019,33,1,33.0,0.04565172642469406,0,59,22,1,31,1,1,1,1,Reject,2
2018_rkvDssyRb,4,36,3,774,118,1,33,2017,10,1,17.0,0.04890424385666847,0,945,10,1,22,0,1,1,0,Reject,2
2018_B1ZvaaeAZ,4,37,5,1327,192,4,25,2017,24,1,22.4,0.07084614038467407,0,40,9,0,17,1,1,1,0,Accept,2
2019_H1lC8o0cKX,2,72,8,932,136,5,31,2029,26,0,25.0,0.06498504430055618,0,48,15,1,35,0,1,0,0,Reject,-9
2018_Hk6WhagRW,6,42,4,954,146,4,44,2018,16,0,27.833333333333332,0.08021289110183716,0,56,21,1,19,1,1,0,0,Accept,1
2019_HyxzRsR9Y7,3,40,4,1804,247,3,45,2018,37,0,27.181818181818183,0.06733696907758713,0,32,23,1,30,1,1,1,0,Accept,2
2018_r1h2DllAW,2,59,6,876,131,5,28,2017,23,1,29.2,0.06299993395805359,1,37,16,0,11,1,1,0,5,Reject,2
2020_HylrB04YwH,3,66,7,1047,147,4,13,2019,8,1,27.833333333333332,0.07579557597637177,0,31,11,1,40,0,1,0,1,Reject,2
2019_H1Gfx3Rqtm,4,72,8,970,139,2,47,2018,28,1,37.0,0.03634842485189438,1,31,16,1,10,1,1,0,0,Reject,2
2020_rJehVyrKwH,5,69,12,789,124,2,45,2019,40,1,28.0,0.071658656001091,0,35,12,0,13,1,1,1,1,Accept,2
2020_HJgzpgrYDr,5,88,11,1217,180,4,47,2019,40,0,26.125,0.0583905428647995,0,51,20,1,41,1,1,1,8,Reject,2
2019_r1lM_sA5Fm,2,85,11,1344,200,4,55,2027,41,0,30.571428571428573,0.054061826318502426,0,59,19,1,6,1,1,0,0,Reject,-7
2020_B1xmOgrFPS,3,54,8,1392,204,3,23,2019,23,1,26.7,0.051087427884340286,0,36,16,1,7,1,1,0,0,Reject,2
2020_ByeMPlHKPH,5,45,5,1303,183,0,52,2020,51,1,34.857142857142854,0.05852620676159859,0,54,14,0,15,1,1,0,12,Accept,1
2017_S1Bb3D5gg,3,40,4,1120,164,0,34,2016,28,0,23.333333333333332,0.0521911159157753,0,46,21,1,18,1,1,0,2,Accept,2
2018_rylSzl-R-,4,34,5,1150,160,4,48,2025,41,1,22.5,0.04489324614405632,0,47,22,0,63,1,1,1,2,Accept,-6
2020_HyxnH64KwS,3,95,13,909,135,4,26,2019,15,0,31.6,0.0605713427066803,1,44,15,1,45,0,1,1,0,Reject,2
2019_r1elIi09K7,2,71,8,382,59,1,18,2018,16,0,30.0,0.04686043784022331,0,545,9,1,26,1,1,1,1,Reject,2
2020_B1xcLJrYwH,3,32,4,1021,174,4,28,2018,15,1,25.5,0.05645767226815224,0,110,9,0,29,1,1,0,0,Reject,3
2020_Bkf4XgrKvS,2,109,12,1044,147,3,50,2019,35,1,20.5,0.05530399829149246,0,83,22,1,12,1,1,1,7,Reject,2
2020_Skl1HCNKDr,5,61,7,1086,168,3,33,2019,25,1,26.571428571428573,0.07537104189395905,0,25,12,1,20,1,1,1,3,Reject,2
2020_rJxFpp4Fvr,4,78,9,1321,197,6,29,2019,19,1,24.22222222222222,0.05938917025923729,0,187,20,1,14,1,1,1,3,Reject,2
2019_r1xyx3R9tQ,3,77,10,885,129,5,40,2018,29,1,30.0,0.05380880832672119,0,36,19,1,15,1,1,0,0,Reject,2
2019_B1lnjo05Km,5,65,7,1738,255,6,14,2017,5,1,22.692307692307693,0.07807312905788422,0,19,9,1,9,1,1,0,0,Reject,3
2019_BJxRVnC5Fm,4,26,5,621,107,6,17,2018,12,1,28.5,0.03887004032731056,0,333,21,1,27,1,1,1,2,Reject,2
2020_Hyx_h64Yvr,3,28,3,1130,159,0,0,0,0,1,23.625,0.05780065432190895,0,0,20,1,14,1,1,0,0,Reject,2021
2019_HJMC_iA5tm,6,49,7,653,99,5,24,2018,12,1,29.25,0.06952475756406784,1,40,14,0,11,1,1,0,0,Accept,2
2018_SyqAPeWAZ,2,66,9,870,130,4,21,2017,12,1,30.6,0.05187102407217026,1,296,14,1,36,1,1,1,0,Reject,2
2018_rJ33wwxRb,4,90,11,1053,152,5,28,2017,21,1,18.7,0.07624801993370056,0,79,28,1,19,0,1,1,0,Accept,2
2020_B1eWbxStPH,3,48,6,1327,189,6,45,2019,35,1,21.3,0.07271348685026169,0,37,13,1,22,1,1,1,11,Accept,2
2020_BJgQfkSYDS,4,74,11,1211,176,0,84,2019,60,1,25.0,0.054027482867240906,0,96,35,0,1,0,0,1,1,Accept,2
2020_HJg_ECEKDr,5,118,16,1755,253,5,41,2019,35,1,29.5,0.062142495065927505,1,26,17,1,26,1,1,1,2,Reject,2
2020_rkgMkCEtPB,4,80,11,1518,227,4,35,2019,32,1,34.25,0.06787540763616562,0,80,34,1,25,1,1,0,0,Accept,2
2020_HJxiMAVtPH,3,37,4,833,110,5,34,2019,31,1,21.833333333333332,0.06844635307788849,0,48,28,1,21,1,1,0,5,Reject,2
2020_BJlPOlBKDB,4,81,13,869,124,4,44,2019,23,1,25.5,0.06024273857474327,1,47,23,1,18,1,1,1,0,Reject,2
2017_S1xh5sYgx,6,82,12,880,131,2,45,2016,39,1,15.4,0.06933089345693588,0,22,18,0,21,1,1,0,0,Reject,2
2019_SyzrLjA5FQ,3,52,5,1297,210,3,37,2018,21,0,33.142857142857146,0.08133819699287415,0,52,24,0,20,1,1,0,0,Reject,2
2018_Bk346Ok0W,5,40,4,1189,166,4,23,2017,15,1,32.833333333333336,0.06839043647050858,0,27,10,1,18,1,1,1,0,Reject,2
2020_Hyl8yANFDB,3,70,9,552,82,3,53,2019,43,1,24.25,0.051830731332302094,0,38,20,1,42,0,1,1,1,Reject,2
2018_rkA1f3NpZ,4,87,12,1040,159,5,24,2017,17,1,21.5,0.056996509432792664,1,33,10,0,17,1,1,0,0,Reject,2
2020_Byeq_xHtwS,2,21,3,667,90,3,32,2019,15,1,24.75,0.07282457500696182,0,37,4,0,11,0,1,1,1,Reject,2
2017_rk5upnsxe,5,82,10,1152,168,0,46,2016,24,1,20.77777777777778,0.03835717588663101,0,32,17,1,23,1,1,1,0,Accept,2
2020_BJeGlJStPr,5,83,10,1231,169,4,17,2019,15,0,20.6,0.07135862112045288,0,29,18,1,21,1,1,0,0,Accept,2
2020_B1eibJrtwr,2,56,6,1207,165,3,34,2019,28,1,22.333333333333332,0.06465432047843933,1,25,19,1,9,1,1,1,4,Reject,2
2019_r1xFE3Rqt7,6,71,9,914,133,4,29,2018,24,1,25.5,0.07209613174200058,0,51,14,1,19,1,1,0,3,Reject,2
2020_rkx3-04FwB,2,75,10,1371,208,2,36,2020,28,1,27.22222222222222,0.06474711745977402,0,5,13,1,15,1,1,1,1,Reject,1
2017_BkCPyXm1l,1,91,12,1051,162,3,21,2016,12,1,27.571428571428573,0.05922925844788551,0,19,11,0,6,1,1,0,0,Reject,2
2017_B1M8JF9xx,4,63,8,937,131,2,29,2016,21,1,30.8,0.05966276675462723,0,29,25,1,12,1,1,0,6,Accept,2
2019_SkfrvsA9FX,3,38,4,706,105,4,33,2018,23,1,24.0,0.06956811249256134,0,38,29,1,17,1,1,1,0,Accept,2
2020_ByeadyrtPB,3,69,7,996,123,2,32,2019,28,1,32.8,0.059952858835458755,1,146,19,1,31,1,1,0,7,Reject,2
2018_rkMt1bWAZ,3,50,5,510,68,3,27,2017,11,1,24.666666666666668,0.07479120045900345,0,51,10,1,20,0,1,1,1,Reject,2
2020_Hkeh21BKPH,5,29,4,516,71,4,75,2075,58,1,17.8,0.05273174121975899,1,56,8,1,22,1,1,1,6,Reject,-54
2019_BkgGmh09FQ,4,84,9,1385,205,2,62,2018,55,1,33.42857142857143,0.04894820228219032,0,35,12,1,6,1,1,0,0,Reject,2
2018_HyzbhfWRW,4,22,4,1417,201,7,36,2027,25,1,25.444444444444443,0.0400264598429203,0,385,14,0,16,1,1,0,0,Accept,-8
2018_BkrSv0lA-,2,47,6,581,82,2,37,2017,32,1,26.5,0.06855989247560501,1,28,18,1,6,1,1,0,9,Accept,2
2020_HyxgBerKwB,4,75,10,846,110,3,54,2019,42,0,28.2,0.07663621008396149,1,46,21,1,16,1,1,1,2,Reject,2
2020_B1em8TVtPr,4,52,5,872,123,7,54,2019,39,0,29.4,0.041808996349573135,0,29,9,1,5,1,0,0,2,Reject,2
2019_r1fO8oC9Y7,5,65,8,1074,149,3,34,2018,30,1,31.166666666666668,0.06019924581050873,0,423,18,0,16,1,1,1,1,Reject,2
2017_Hy6b4Pqee,6,30,3,1023,147,0,69,2017,43,1,21.25,0.05873986706137657,0,44,17,1,21,1,1,1,3,Accept,1
2019_SJ4vTjRqtQ,2,25,3,1075,144,3,30,2018,25,1,30.333333333333332,0.050800543278455734,0,413,18,1,23,0,1,1,0,Reject,2
2020_H1lmhaVtvr,4,80,9,1487,233,5,27,2019,21,0,26.1,0.06764276325702667,0,77,22,1,23,1,1,1,2,Accept,2
2020_SklnVAEFDB,4,57,8,1657,249,0,25,2019,21,1,19.9375,0.06226031482219696,1,34,15,0,6,1,1,0,1,Reject,2
2019_H1e0-30qKm,3,60,8,1090,157,4,26,2018,23,1,21.77777777777778,0.06812472641468048,0,26,19,1,48,1,1,1,4,Reject,2
2020_Hkgpnn4YvH,2,46,6,842,122,2,36,2020,30,1,23.666666666666668,0.06094159185886383,0,252,18,0,11,1,1,1,1,Reject,1
2020_HJxcP2EFDS,1,25,3,866,124,7,8,2019,5,1,17.75,0.04220506176352501,0,22,13,0,5,1,1,0,0,Reject,2
2020_B1eQcCEtDB,6,57,8,743,103,3,58,2019,35,1,25.8,0.04675772041082382,1,58,12,0,22,1,1,1,0,Reject,2
